name,category,weight
The North Face Dolomite 3S Sleeping Bag - Double - Long,Men's Sleeping Bags,2948
The North Face Dolomite 3S Sleeping Bag - Double - Regular,Men's Sleeping Bags,2749
REI Polar Pod Sleeping Bag - Long,Men's Sleeping Bags,1587
REI Polar Pod Sleeping Bag - Regular,Men's Sleeping Bags,1474
REI Polar Pod Sleeping Bag - Short,Men's Sleeping Bags,1474
The North Face Furnace 20 Sleeping Bag - Long Left,Men's Sleeping Bags,1190
The North Face Furnace 20 Sleeping Bag - Regular Left,Men's Sleeping Bags,1190
REI Radiant Sleeping Bag - Long Left,Men's Sleeping Bags,1133
REI Radiant Sleeping Bag - Long Wide,Men's Sleeping Bags,1417
REI Radiant Sleeping Bag - Regular Left,Men's Sleeping Bags,1133
NEMO Tango Duo Sleeping Bag and Slipcover Combo - Regular,Men's Sleeping Bags,1304
NEMO Tango Duo Sleeping Bag and Slipcover Combo - Slim,Men's Sleeping Bags,1162
Marmot Trestles 15 Sleeping Bag - Long Left,Men's Sleeping Bags,1757
Marmot Trestles 15 Sleeping Bag - Long Left Wide,Men's Sleeping Bags,1956
Marmot Trestles 15 Sleeping Bag - Regular Left,Men's Sleeping Bags,1757
REI Lumen Sleeping Bag - Long,Men's Sleeping Bags,1219
REI Lumen Sleeping Bag - Long Wide,Men's Sleeping Bags,1304
REI Lumen Sleeping Bag - Regular,Men's Sleeping Bags,1133
REI Serrana Sleeping Bag - Women's - Long Left,Women's Sleeping Bags,1417
REI Serrana Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,1530
REI Serrana Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1417
REI Igneo Sleeping Bag - Long Left,Men's Sleeping Bags,822
REI Igneo Sleeping Bag - Regular Left,Men's Sleeping Bags,822
REI Kindercone Sleeping Bag - Kids',Kids' Sleeping Bags,1474
NEMO Strato Loft Sleeping Bag,Men's Sleeping Bags,1474
The North Face Dolomite 3S Sleeping Bag - Kids' - Long Right,Kids' Sleeping Bags,1530
The North Face Dolomite 3S Sleeping Bag - Kids' - Regular Right,Kids' Sleeping Bags,1530
Pendleton Yakima Camp Blanket,Camp Blankets,1814
Big Agnes Dream Island +15 Sleeping Bag - Double,Men's Sleeping Bags,4224
Eureka Silver Canyon 30 Sleeping Bag - Long,Men's Sleeping Bags,1950
Eureka Silver Canyon 30 Sleeping Bag - Regular,Men's Sleeping Bags,1423
Big Agnes Cabin Creek Sleeping Bag - Double,Men's Sleeping Bags,2494
Sierra Designs Backcountry Bed 600 3-Season Sleeping Bag - Long,Men's Sleeping Bags,1502
Sierra Designs Backcountry Bed 600 3-Season Sleeping Bag - Regular,Men's Sleeping Bags,1389
Therm-a-Rest Compressible Pillow - S,Camping Pillows,198
Therm-a-Rest Compressible Pillow - M,Camping Pillows,255
Therm-a-Rest Compressible Pillow - L,Camping Pillows,340
Therm-a-Rest Compressible Pillow - XL,Camping Pillows,425
Sea to Summit Thermolite Reactor Extreme Mummy Bag Liner,Sleeping Bag Liners,396
Sea to Summit Spark Sp II Sleeping Bag - Long,Men's Sleeping Bags,510
Sea to Summit Spark Sp II Sleeping Bag - Regular,Men's Sleeping Bags,464
Marmot Never Summer Sleeping Bag - Long Left,Men's Sleeping Bags,1474
Marmot Never Summer Sleeping Bag - Regular Left,Men's Sleeping Bags,1474
Mountain Hardwear Lamina Z Flame Sleeping Bag - Long Left,Men's Sleeping Bags,1219
Mountain Hardwear Lamina Z Flame Sleeping Bag - Regular Left,Men's Sleeping Bags,56
Sea to Summit eVent Compression Dry Sack - 6 L,Compression Sacks,99
Sea to Summit eVent Compression Dry Sack - 10 L,Compression Sacks,127
Sea to Summit eVent Compression Dry Sack - 15 L,Compression Sacks,147
Sea to Summit eVent Compression Dry Sack - 20 L,Compression Sacks,167
Sea to Summit eVent Compression Dry Sack - 30 L,Compression Sacks,209
REI Flash Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,850
REI Flash Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,765
Sea to Summit Trek TkII Sleeping Bag - Long Left,Men's Sleeping Bags,1020
Sea to Summit Trek TkII Sleeping Bag - Regular Left,Men's Sleeping Bags,1020
The North Face Furnace 5 Sleeping Bag - Long Left,Men's Sleeping Bags,1587
The North Face Furnace 5 Sleeping Bag - Regular Left,Men's Sleeping Bags,1587
The North Face Blue Kazoo Sleeping Bag - Long Left,Men's Sleeping Bags,1162
The North Face Blue Kazoo Sleeping Bag - Regular Left,Men's Sleeping Bags,1162
REI Expedition Sleeping Bag - Long,Men's Sleeping Bags,1871
REI Expedition Sleeping Bag - Regular,Men's Sleeping Bags,1729
REI Expedition Sleeping Bag - Short,Men's Sleeping Bags,1672
Mountain Hardwear Lamina -15 Sleeping Bag - Long Left,Men's Sleeping Bags,2069
Mountain Hardwear Lamina -15 Sleeping Bag - Regular Left,Men's Sleeping Bags,2069
NEMO Mezzo Loft Luxury Sleeping Bag,Men's Sleeping Bags,2154
Marmot Trestles 30 Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,1587
Marmot Trestles 30 Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1474
Mountain Hardwear Phantom 32 Sleeping Bag - Long Left,Men's Sleeping Bags,28
Mountain Hardwear Phantom 32 Sleeping Bag - Regular Left,Men's Sleeping Bags,28
NEMO Sonic Sleeping Bag - Long,Men's Sleeping Bags,1332
NEMO Sonic Sleeping Bag - Regular,Men's Sleeping Bags,1219
Marmot Trestles 30 Sleeping Bag - Long Left,Men's Sleeping Bags,1445
Marmot Trestles 30 Sleeping Bag - Long Left Wide,Men's Sleeping Bags,1899
Marmot Trestles 30 Sleeping Bag - Regular Left,Men's Sleeping Bags,1445
The North Face Dolomite 2S Sleeping Bag - Long Right,Men's Sleeping Bags,1190
The North Face Dolomite 2S Sleeping Bag - Regular Right,Men's Sleeping Bags,1105
The North Face Green Kazoo Sleeping Bag - Long Left,Men's Sleeping Bags,1360
Sea to Summit Spark SpI Sleeping Bag - Long,Men's Sleeping Bags,391
Sea to Summit Spark SpI Sleeping Bag - Regular,Men's Sleeping Bags,348
Mountain Hardwear Laminina Z Torch Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,113
Mountain Hardwear Laminina Z Torch Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,113
Marmot Trestles 0 Sleeping Bag - Long Left,Men's Sleeping Bags,2409
Marmot Trestles 0 Sleeping Bag - Long Left Wide,Men's Sleeping Bags,2608
Marmot Trestles 0 Sleeping Bag - Regular Left,Men's Sleeping Bags,2409
Marmot Helium Sleeping Bag - Long Left,Men's Sleeping Bags,992
Marmot Helium Sleeping Bag - Regular Left,Men's Sleeping Bags,992
Sea to Summit Aeros Pillow Premium - LARGE,Camping Pillows,104
Sea to Summit Aeros Pillow Premium - Regular,Camping Pillows,79
evrgrn Crash Sack - Long,Men's Sleeping Bags,1105
evrgrn Crash Sack - Regular,Men's Sleeping Bags,1048
evrgrn Crash Sack - Short,Men's Sleeping Bags,992
The North Face Dolomite 3S Sleeping Bag - Long Right,Men's Sleeping Bags,1956
The North Face Dolomite 3S Sleeping Bag - Regular Right,Men's Sleeping Bags,1842
Big Agnes King Solomon Sleeping Bag - Double,Men's Sleeping Bags,2069
NEMO Fillo Backpacking Pillow,Camping Pillows,306
Marmot Sawtooth Sleeping Bag - Long Left,Men's Sleeping Bags,1219
Marmot Sawtooth Sleeping Bag - Regular Left,Men's Sleeping Bags,1219
Mountain Hardwear Heratio 15 Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,1162
Mountain Hardwear Heratio 15 Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1105
Mountain Hardwear HyperLamina Torch Sleeping Bag - Long Left,Men's Sleeping Bags,1474
Mountain Hardwear HyperLamina Torch Sleeping Bag - Regular Left,Men's Sleeping Bags,1474
REI Lumen Sleeping Bag - Youths',Kids' Sleeping Bags,1077
The North Face Cat's Meow Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,1700
The North Face Cat's Meow Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1559
REI Siesta Sleeping Bag - Long,Men's Sleeping Bags,1757
REI Siesta Sleeping Bag - Regular,Men's Sleeping Bags,1700
REI Siesta Sleeping Bag - Short,Men's Sleeping Bags,1644
Mountain Hardwear HyperLamina Spark Sleeping Bag - Long Left,Men's Sleeping Bags,737
Mountain Hardwear HyperLamina Spark Sleeping Bag - Regular Left,Men's Sleeping Bags,737
Outdoor Research Helium Bivy,Bivy Sacks,510
Outdoor Research Alpine Bivy,Bivy Sacks,907
Sea to Summit Ultra-Sil Compression Dry Sack - 6 LTR,Compression Sacks,65
Sea to Summit Ultra-Sil Compression Dry Sack - 10 LTR,Compression Sacks,73
Sea to Summit Ultra-Sil Compression Dry Sack - 14 LTR,Compression Sacks,90
Sea to Summit Ultra-Sil Compression Dry Sack - 20 LTR,Compression Sacks,96
The North Face Cat's Meow Sleeping Bag - Long Left,Men's Sleeping Bags,1219
The North Face Cat's Meow Sleeping Bag - Regular Left,Men's Sleeping Bags,1219
Mountain Hardwear Laminina Z Flame Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,85
Mountain Hardwear Laminina Z Flame Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,85
Big Agnes Whiskey Park Sleeping Bag,Men's Sleeping Bags,2863
Marmot CWM Sleeping Bag - Long Left,Men's Sleeping Bags,2066
Marmot CWM Sleeping Bag - Regular Left,Men's Sleeping Bags,2066
Sea to Summit Reactor Thermolite Mummy Bag Liner,Sleeping Bag Liners,229
ENO Ember 2 Hammock Underquilt,Camp Blankets,708
Big Agnes Ethel Sleeping Bag - Women's - Petite Right,Women's Sleeping Bags,1644
Big Agnes Ethel Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1729
Big Agnes Roxy Ann Sleeping Bag - Women's - Petite Right,Women's Sleeping Bags,935
Big Agnes Roxy Ann Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1360
REI Flash Sleeping Bag - Long Left,Men's Sleeping Bags,28
REI Flash Sleeping Bag - Regular Left,Men's Sleeping Bags,28
Kelty Discovery Sleeping Bag - Long,Men's Sleeping Bags,1700
Kelty Discovery Sleeping Bag - Regular,Men's Sleeping Bags,1899
Mountain Hardwear Laminina Z Spark Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,56
Mountain Hardwear Laminina Z Spark Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,56
The North Face Aleutian 20 Sleeping Bag - Long Left,Men's Sleeping Bags,1644
The North Face Aleutian 20 Sleeping Bag - Regular Left,Men's Sleeping Bags,1644
The North Face Tephora Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,1587
The North Face Tephora Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1417
REI Joule Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,1020
REI Joule Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,963
REI Lightweight Compression Stuff Sack - 6 LTR,Compression Sacks,70
REI Lightweight Compression Stuff Sack - 11 LTR,Compression Sacks,79
REI Lightweight Compression Stuff Sack - 16 LTR,Compression Sacks,90
REI Lightweight Compression Stuff Sack - 21 LTR,Compression Sacks,99
Marmot Trestles 30 Sleeping Bag - Kids',Kids' Sleeping Bags,1162
Marmot Ouray Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,1729
Marmot Ouray Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1644
The North Face Furnace 35 Sleeping Bag - Long Left,Men's Sleeping Bags,935
The North Face Furnace 35 Sleeping Bag - Regular Left,Men's Sleeping Bags,935
Sea to Summit Aeros Ultralight Pillow - LARGE,Camping Pillows,70
Sea to Summit Aeros Ultralight Pillow - Regular,Camping Pillows,56
NEMO Nocturne 30 Sleeping Bag - Long Left,Men's Sleeping Bags,907
NEMO Nocturne 30 Sleeping Bag - Long Right,Men's Sleeping Bags,963
NEMO Tango Solo and Slipcover Combo,Men's Sleeping Bags,822
Marmot Electrum Sleeping Bag - Long Left,Men's Sleeping Bags,1133
Marmot Electrum Sleeping Bag - Regular Left,Men's Sleeping Bags,1133
Cocoon Silk Mummy Liner,Sleeping Bag Liners,133
REI Travel Down Sleeping Bag,Men's Sleeping Bags,822
REI Travel Sack Sleeping Bag,Men's Sleeping Bags,822
Kelty TraiLogic SB 32 Sleeping Bag - Long,Men's Sleeping Bags,793
Kelty TraiLogic SB 32 Sleeping Bag - Regular,Men's Sleeping Bags,708
Sea to Summit Trek TkI Sleeping Bag - Long Left,Men's Sleeping Bags,822
Sea to Summit Trek TkI Sleeping Bag - Regular Left,Men's Sleeping Bags,822
Kelty Cosmic Down 21 Sleeping Bag - Long Right,Men's Sleeping Bags,1275
Kelty Cosmic Down 21 Sleeping Bag - Regular Right,Men's Sleeping Bags,1162
Kelty Cosmic Down 21 Sleeping Bag - Short Right,Men's Sleeping Bags,1077
Mountain Hardwear Lamina Z Spark Sleeping Bag - Long Left,Men's Sleeping Bags,935
Mountain Hardwear Lamina Z Spark Sleeping Bag - Regular Left,Men's Sleeping Bags,56
Marmot NanoWave Sleeping Bag - Long Left,Men's Sleeping Bags,822
Marmot NanoWave Sleeping Bag - Regular Left,Men's Sleeping Bags,822
Mountain Hardwear Ratio 32 Sleeping Bag - Long Left,Men's Sleeping Bags,28
Mountain Hardwear Ratio 32 Sleeping Bag - Regular Left,Men's Sleeping Bags,28
Sierra Designs Backcountry Bed 600 3-Season Sleeping Bag - Women's,Women's Sleeping Bags,1445
The North Face Aleutian 35 Sleeping Bag - Long Left,Men's Sleeping Bags,1048
The North Face Aleutian 35 Sleeping Bag - Regular Left,Men's Sleeping Bags,1048
Sea to Summit Silk Stretch Traveller Liner,Sleeping Bag Liners,170
Big Agnes Lost Ranger Sleeping Bag - Long Left,Men's Sleeping Bags,1332
Big Agnes Lost Ranger Sleeping Bag - Regular Left,Men's Sleeping Bags,1332
Space All-Weather Blanket,Emergency Supplies,340
REI Ditty Sack - Package of 3,Drawcord Stuff Sacks,0
Marmot NanoWave 55 Sleeping Bag - Long Left,Men's Sleeping Bags,680
Marmot NanoWave 55 Sleeping Bag - Regular Left,Men's Sleeping Bags,680
Big Agnes Wind Lip Sleeping Bag - Long Left,Men's Sleeping Bags,963
Big Agnes Wind Lip Sleeping Bag - Regular Left,Men's Sleeping Bags,963
Sea to Summit Traveller Tr I Sleeping Bag - LARGE,Men's Sleeping Bags,476
Sea to Summit Traveller Tr I Sleeping Bag - Regular,Men's Sleeping Bags,388
Sierra Designs Backcountry Bed 600 2-Season Sleeping Bag - Long,Men's Sleeping Bags,1219
Sierra Designs Backcountry Bed 600 2-Season Sleeping Bag - Regular,Men's Sleeping Bags,1133
The North Face Green Kazoo Sleeping Bag - Women's - Long Right,Women's Sleeping Bags,1445
The North Face Green Kazoo Sleeping Bag - Women's - Regular Right,Women's Sleeping Bags,1332
Sea to Summit Insect Shield CoolMax Adaptor Liner - Mummy,Sleeping Bag Liners,243
Sierra Designs Backcountry Bed 800 3-Season Sleeping Bag - Long,Men's Sleeping Bags,1332
Sierra Designs Backcountry Bed 800 3-Season Sleeping Bag - Regular,Men's Sleeping Bags,1190
Sea to Summit Reactor Plus Thermolite Compact Liner,Sleeping Bag Liners,263
Kelty Cosmic Down 32 Sleeping Bag - Women's,Women's Sleeping Bags,1133
REI Lyra Sleeping Bag - Women's - Long,Women's Sleeping Bags,1502
REI Lyra Sleeping Bag - Women's - Regular,Women's Sleeping Bags,1389
The North Face Aleutian 0 Sleeping Bag - Long Left,Men's Sleeping Bags,2608
The North Face Aleutian 0 Sleeping Bag - Regular Left,Men's Sleeping Bags,2608
Marmot NanoWave 35 Sleeping Bag - Long Left,Men's Sleeping Bags,986
Marmot NanoWave 35 Sleeping Bag - Regular Left,Men's Sleeping Bags,986
ENO Vesta Topquilt Blanket,Men's Sleeping Bags,793
Therm-a-Rest Auriga Down Blanket - LARGE,Men's Sleeping Bags,680
Therm-a-Rest Auriga Down Blanket - Regular,Men's Sleeping Bags,595
Marmot Mavericks 40 Semi-Rectangular Sleeping Bag - Kids',Kids' Sleeping Bags,850
